ID,Q1: 您的生理性別 Gender,Q2: 你的出生西元年 your birth year,Q3: 您的星座 constellation    ,Q4: 您是哪個學院的 which college you come from,Q7: 您的性格傾向（依照您自己的觀察判斷）Personality   and  personal characters ,personality,Q8: 您的課外活動/社團活動參與 involvement in after-class extracurricular activities,Q9: 您的學業表現 (過去以來的狀況) your academic performance level in general,Q10: 您的居住狀態 where do you live?,你主要使用的手機廠牌 Brand of your major cellurla phone,這隻手機使用多久How long you have this phone?,手機上網流量 internet connection type,A: 關於手機的一些資訊 some information about cellalur phone usage [S1. FB的朋友數 number of friends you have at FB],A: 關於手機的一些資訊 some information about cellalur phone usage [S2. LINE的好友數 number of friends you have at LINE],A: 關於手機的一些資訊 some information about cellalur phone usage [S3. LINE的群組數 number of groups you are in at LINE],A: 關於手機的一些資訊 some information about cellalur phone usage [S4. IG的粉絲數 number of followers at IG],A: 關於手機的一些資訊 some information about cellalur phone usage [S5. IG的追蹤中人數 number of following at IG],B: 手機使用行為 Cellular phone usage [B1. 每天用手機玩手機遊戲的時間大約幾分鐘 time (minutes) of playing game on the phone per day ],B: 手機使用行為 Cellular phone usage [B2. 每天用手機看影片追劇的時間大約幾分鐘 time (minutes) of watching vedio/film/drama on the phone per day ],B: 手機使用行為 Cellular phone usage [B3: 每天用手機瀏覽新聞的時間大約幾分鐘 time (minutes) of reading news on the phone per day ],B: 手機使用行為 Cellular phone usage [B4. 一週用手機叫餐買食物飲料的次數 number of ordering food/drinks per week in average],B: 手機使用行為 Cellular phone usage [B5. 一週用手機叫車搭車的次數 number of calling taxi per week in average],B: 手機使用行為 Cellular phone usage [B6: 手機剩下%多少電力時會感到焦慮(請填0-100的數值) how many % of power left may feel nervous],"C: 手機使用習慣 tendency of using phone [C1. 我曾因長時間玩手機遊戲而眼睛酸澀、肌肉痠痛，或有其他身體不適 I have often experienced dry/sore eyes, muscle aches, or other physical discomforts from playing mobile games for a long duration.a]","C: 手機使用習慣 tendency of using phone [C2. 我常常原本沒有打算玩手機遊戲，卻會忍不住拿起手機來玩一下（滑一下） I often do not plan on playing mobile games, but cannot resist picking up my phone to play (swipe).]",C: 手機使用習慣 tendency of using phone [C3. 在過去3個月裡，我感覺需要更常玩手機遊戲，或玩更久的時間才覺得我玩夠了 I find that I am spending more time playing mobile games],"C: 手機使用習慣 tendency of using phone [C4. 如果不能玩手機遊戲，我會覺得靜不下心，感到很煩躁 If I cannot play a mobile game, I feel restless and irritable.]",總時間
236,女,2002,4. 金牛座(4/21-5/20) Taurus,我不是台師大學生 Not NTNU student,4. 內外雙極 In-outward polarized,FALSE,3. 積極參與 highly involve,2跟其他同學差不多 in average and similar to others,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,788,380,150,373,309,30,30,10,1,2,50,3符合 agree,3符合 agree,1極不符合 extremely disagree,1極不符合 extremely disagree,334.57
237,女,2002,4. 金牛座(4/21-5/20) Taurus,管理學院College of Management,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,350,250,150,180,200,0,100,15,0,0,65,2不符合 disagree,3符合 agree,2不符合 disagree,2不符合 disagree,130.17
238,女,2002,4. 金牛座(4/21-5/20) Taurus,藝術學院College of Arts,3. 外向活潑 Outward and active,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,747,283,112,676,639,0,60,1,0,0,70,3符合 agree,2不符合 disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,227.21
239,男,2002,4. 金牛座(4/21-5/20) Taurus,我不是台師大學生 Not NTNU student,5. 難以捉摸 Hart to say and unstable,FALSE,3. 積極參與 highly involve,1稍微有一點落後其他同學 below average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,三星SAMSUNG,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,1000,600,70,800,300,60,60,60,3,1,30,3符合 agree,4非常符合 extremely agree,3符合 agree,3符合 agree,179.28
240,女,2002,4. 金牛座(4/21-5/20) Taurus,教育學院College of Education,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,華碩ASUS,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,250,200,53,235,281,0,30,60,0,0,49,1極不符合 extremely disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,191.58
241,女,2002,4. 金牛座(4/21-5/20) Taurus,文學院College of Liberal Arts,3. 外向活潑 Outward and active,FALSE,3. 積極參與 highly involve,3比其他同學稍好些 above average,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,550,478,27,553,268,30,50,10,7,10,60,2不符合 disagree,2不符合 disagree,2不符合 disagree,2不符合 disagree,205.08
242,女,2002,4. 金牛座(4/21-5/20) Taurus,教育學院College of Education,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,2. 有限制不是吃到飽 limited data,550,200,75,335,275,30,90,30,0,0,60,3符合 agree,4非常符合 extremely agree,2不符合 disagree,2不符合 disagree,160.99
243,女,2003,4. 金牛座(4/21-5/20) Taurus,管理學院College of Management,1. 內向安靜 Introvert and gentle,243,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,355,95,57,301,280,0,120,10,2,0,20,2不符合 disagree,4非常符合 extremely agree,2不符合 disagree,1極不符合 extremely disagree,284.1
244,女,2003,4. 金牛座(4/21-5/20) Taurus,管理學院College of Management,1. 內向安靜 Introvert and gentle,244,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L4: 學校宿舍 live in school's dorm,Realme,2. 半年以上未滿一年  > .5 year less than 1 year,2. 有限制不是吃到飽 limited data,296,131,54,180,239,360,0,10,1,0,59,3符合 agree,4非常符合 extremely agree,2不符合 disagree,2不符合 disagree,404.17
245,女,2003,4. 金牛座(4/21-5/20) Taurus,管理學院College of Management,5. 難以捉摸 Hart to say and unstable,FALSE,2. 偶而參與 occasionally involve,1稍微有一點落後其他同學 below average,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,200,150,30,180,300,30,30,10,0,0,30,4非常符合 extremely agree,3符合 agree,3符合 agree,3符合 agree,435.92
246,女,2003,4. 金牛座(4/21-5/20) Taurus,管理學院College of Management,4. 內外雙極 In-outward polarized,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,950,221,37,1783,1045,240,60,0,2,5,20,1極不符合 extremely disagree,3符合 agree,2不符合 disagree,2不符合 disagree,255.14
247,男,2003,4. 金牛座(4/21-5/20) Taurus,管理學院College of Management,1. 內向安靜 Introvert and gentle,247,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L4: 學校宿舍 live in school's dorm,宏電HTC,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,361,95,30,143,2251,60,30,30,0,0,10,2不符合 disagree,2不符合 disagree,2不符合 disagree,2不符合 disagree,198.91
248,女,2003,4. 金牛座(4/21-5/20) Taurus,管理學院College of Management,3. 外向活潑 Outward and active,FALSE,3. 積極參與 highly involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,歐寶OPPO,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,240,207,71,205,227,45,70,30,0,0,5,2不符合 disagree,3符合 agree,3符合 agree,3符合 agree,325.08
249,女,2003,4. 金牛座(4/21-5/20) Taurus,管理學院College of Management,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,452,230,68,277,458,150,120,120,0,0,50,3符合 agree,3符合 agree,3符合 agree,3符合 agree,244.4
250,男,2003,4. 金牛座(4/21-5/20) Taurus,管理學院College of Management,2. 中性平衡 Balance and equal,FALSE,3. 積極參與 highly involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,6. 四年以上上未滿五年 > 4 years less than 5 years,1. 吃到飽沒上限 unlimited data,143,147,42,199,235,240,30,30,4,0,20,2不符合 disagree,3符合 agree,2不符合 disagree,2不符合 disagree,375.7
251,女,2003,4. 金牛座(4/21-5/20) Taurus,管理學院College of Management,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,244,220,86,149,130,10,30,20,0,0,50,2不符合 disagree,2不符合 disagree,1極不符合 extremely disagree,2不符合 disagree,332.28
252,女,2003,4. 金牛座(4/21-5/20) Taurus,我不是台師大學生 Not NTNU student,1. 內向安靜 Introvert and gentle,252,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L5: 租房子 rent a house/room out of school,歐寶OPPO,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,一百多,一百多,不確定,97,兩百多,0,180,10,0,0,0,4非常符合 extremely agree,4非常符合 extremely agree,3符合 agree,4非常符合 extremely agree,271.35
253,女,2003,4. 金牛座(4/21-5/20) Taurus,理學院College of Science,4. 內外雙極 In-outward polarized,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L4: 學校宿舍 live in school's dorm,歐寶OPPO,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,245,156,66,52,169,120,10,20,0,0,20,3符合 agree,3符合 agree,2不符合 disagree,2不符合 disagree,301.2
254,女,2003,4. 金牛座(4/21-5/20) Taurus,我不是台師大學生 Not NTNU student,4. 內外雙極 In-outward polarized,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,1. 半年內 within an half year,1. 吃到飽沒上限 unlimited data,400,150,15,150,90,10,180,10,0,0,40,3符合 agree,2不符合 disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,226.3
255,女,2003,4. 金牛座(4/21-5/20) Taurus,運動與休閒學院College of Sports and Recreation,3. 外向活潑 Outward and active,FALSE,3. 積極參與 highly involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,三星SAMSUNG,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,762,430,101,688,921,240,120,20,1,0,45,3符合 agree,3符合 agree,2不符合 disagree,1極不符合 extremely disagree,223.38
256,女,2003,4. 金牛座(4/21-5/20) Taurus,教育學院College of Education,3. 外向活潑 Outward and active,FALSE,3. 積極參與 highly involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,357,116,57,279,268,0,30,5,0,0,10,2不符合 disagree,3符合 agree,2不符合 disagree,2不符合 disagree,186.31
257,男,2003,4. 金牛座(4/21-5/20) Taurus,管理學院College of Management,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,1稍微有一點落後其他同學 below average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,6. 四年以上上未滿五年 > 4 years less than 5 years,1. 吃到飽沒上限 unlimited data,500,200,50,500,450,90,60,30,1,0,50,2不符合 disagree,3符合 agree,3符合 agree,3符合 agree,136.88
258,女,2003,4. 金牛座(4/21-5/20) Taurus,教育學院College of Education,4. 內外雙極 In-outward polarized,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L4: 學校宿舍 live in school's dorm,三星SAMSUNG,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,99,73,35,38,83,300,60,0,1,0,20,3符合 agree,4非常符合 extremely agree,3符合 agree,1極不符合 extremely disagree,265.35
259,女,2003,4. 金牛座(4/21-5/20) Taurus,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,2. 半年以上未滿一年  > .5 year less than 1 year,2. 有限制不是吃到飽 limited data,242,79,34,131,197,0,30,0,0,0,15,3符合 agree,1極不符合 extremely disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,144.74
260,女,2003,4. 金牛座(4/21-5/20) Taurus,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,2. 有限制不是吃到飽 limited data,425,85,30,412,244,360,300,10,2,0,40,3符合 agree,3符合 agree,2不符合 disagree,2不符合 disagree,264.84
261,女,2003,4. 金牛座(4/21-5/20) Taurus,文學院College of Liberal Arts,1. 內向安靜 Introvert and gentle,261,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L4: 學校宿舍 live in school's dorm,三星SAMSUNG,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,257,87,39,73,83,60,60,0,0,0,20,3符合 agree,3符合 agree,2不符合 disagree,2不符合 disagree,223.83
262,男,2003,4. 金牛座(4/21-5/20) Taurus,管理學院College of Management,1. 內向安靜 Introvert and gentle,262,1. 從不參與  never involve,1稍微有一點落後其他同學 below average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,vivo（我不喜歡這隻,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,1548,167,35,62,787,180,120,5,0,0,70,4非常符合 extremely agree,4非常符合 extremely agree,2不符合 disagree,3符合 agree,201.4
263,女,2003,4. 金牛座(4/21-5/20) Taurus,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,三星SAMSUNG,7. 五年以上 > 5 years and more,2. 有限制不是吃到飽 limited data,80,4,0,247,629,300,600,10,1,0,48,3符合 agree,2不符合 disagree,3符合 agree,2不符合 disagree,2366.42
264,女,2003,4. 金牛座(4/21-5/20) Taurus,我不是台師大學生 Not NTNU student,4. 內外雙極 In-outward polarized,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,6. 四年以上上未滿五年 > 4 years less than 5 years,1. 吃到飽沒上限 unlimited data,480,212,91,428,343,54,55,5,0,0,20,4非常符合 extremely agree,4非常符合 extremely agree,1極不符合 extremely disagree,2不符合 disagree,200.72
265,女,2003,4. 金牛座(4/21-5/20) Taurus,我不是台師大學生 Not NTNU student,5. 難以捉摸 Hart to say and unstable,FALSE,3. 積極參與 highly involve,2跟其他同學差不多 in average and similar to others,L4: 學校宿舍 live in school's dorm,三星SAMSUNG,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,386,175,58,287,287,480,75,1,0,0,20,1極不符合 extremely disagree,3符合 agree,2不符合 disagree,2不符合 disagree,556.37
266,女,2003,4. 金牛座(4/21-5/20) Taurus,管理學院College of Management,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,1稍微有一點落後其他同學 below average,L3: 住在親戚/朋友家裡 live in relative/friend's house,蘋果APPLE/Iphone,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,570,98,26,256,209,0,5,5,0,0,20,1極不符合 extremely disagree,3符合 agree,1極不符合 extremely disagree,1極不符合 extremely disagree,228.35
267,女,2003,4. 金牛座(4/21-5/20) Taurus,我不是台師大學生 Not NTNU student,3. 外向活潑 Outward and active,FALSE,3. 積極參與 highly involve,2跟其他同學差不多 in average and similar to others,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,1. 半年內 within an half year,1. 吃到飽沒上限 unlimited data,625,492,118,524,629,15,30,5,0,0,15,3符合 agree,4非常符合 extremely agree,2不符合 disagree,1極不符合 extremely disagree,519.09
268,女,2003,4. 金牛座(4/21-5/20) Taurus,其它,1. 內向安靜 Introvert and gentle,268,2. 偶而參與 occasionally involve,4在課業上我應該算是很厲害的 excellent and outstanding,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,4,75,39,9,64,0,60,15,5,0,30,4非常符合 extremely agree,1極不符合 extremely disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,205.12
269,女,2003,4. 金牛座(4/21-5/20) Taurus,教育學院College of Education,2. 中性平衡 Balance and equal,FALSE,3. 積極參與 highly involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,550,510,265,1275,448,400,60,5,1,0,10,3符合 agree,1極不符合 extremely disagree,2不符合 disagree,2不符合 disagree,155.1
270,女,2003,4. 金牛座(4/21-5/20) Taurus,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,5. 三年以上未滿四年 > 3 years less than 4 years,1. 吃到飽沒上限 unlimited data,100,150,30,555,545,10,60,10,0,1,40,2不符合 disagree,2不符合 disagree,2不符合 disagree,2不符合 disagree,1095.3
271,女,2003,4. 金牛座(4/21-5/20) Taurus,文學院College of Liberal Arts,5. 難以捉摸 Hart to say and unstable,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L4: 學校宿舍 live in school's dorm,小米MI,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,I don't use Facebook,25,6,305,291,120,120,20,2,0,12,3符合 agree,3符合 agree,3符合 agree,2不符合 disagree,279.1
272,女,2003,4. 金牛座(4/21-5/20) Taurus,文學院College of Liberal Arts,5. 難以捉摸 Hart to say and unstable,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L4: 學校宿舍 live in school's dorm,歐寶OPPO,5. 三年以上未滿四年 > 3 years less than 4 years,1. 吃到飽沒上限 unlimited data,3,467,82,609,716,0,360,30,10,0,20,1極不符合 extremely disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,259.65
273,男,2003,4. 金牛座(4/21-5/20) Taurus,我不是台師大學生 Not NTNU student,3. 外向活潑 Outward and active,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,743,137,98,682,1325,120,50,10,5,2,20,3符合 agree,3符合 agree,4非常符合 extremely agree,3符合 agree,141.21
274,女,2003,4. 金牛座(4/21-5/20) Taurus,管理學院College of Management,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,5. 三年以上未滿四年 > 3 years less than 4 years,2. 有限制不是吃到飽 limited data,930,252,79,423,283,40,120,20,3,1,40,3符合 agree,3符合 agree,2不符合 disagree,2不符合 disagree,945.02
275,女,2003,4. 金牛座(4/21-5/20) Taurus,理學院College of Science,1. 內向安靜 Introvert and gentle,275,2. 偶而參與 occasionally involve,1稍微有一點落後其他同學 below average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,三星SAMSUNG,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,58,238,83,195,333,100,20,10,0,0,40,3符合 agree,3符合 agree,2不符合 disagree,2不符合 disagree,268.54
276,男,2003,4. 金牛座(4/21-5/20) Taurus,我不是台師大學生 Not NTNU student,3. 外向活潑 Outward and active,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,825,104,24,180,427,10,120,10,5,5,40,3符合 agree,3符合 agree,2不符合 disagree,2不符合 disagree,237.9
277,女,2003,4. 金牛座(4/21-5/20) Taurus,其它,3. 外向活潑 Outward and active,FALSE,3. 積極參與 highly involve,4在課業上我應該算是很厲害的 excellent and outstanding,L1: 住在自己家裡(與父或母住在一起) live in home with parents,三星SAMSUNG,1. 半年內 within an half year,2. 有限制不是吃到飽 limited data,10,179,156,1122,990,30,30,10,10,10,20,3符合 agree,2不符合 disagree,2不符合 disagree,1極不符合 extremely disagree,213.3
278,女,2003,4. 金牛座(4/21-5/20) Taurus,管理學院College of Management,1. 內向安靜 Introvert and gentle,278,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,1. 半年內 within an half year,2. 有限制不是吃到飽 limited data,50,100,9,1000,500,120,120,5,20,0,6,3符合 agree,3符合 agree,3符合 agree,3符合 agree,224.59
279,男,2004,4. 金牛座(4/21-5/20) Taurus,文學院College of Liberal Arts,5. 難以捉摸 Hart to say and unstable,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,1. 半年內 within an half year,1. 吃到飽沒上限 unlimited data,322,96,34,210,240,0,60,5,0,0,20,3符合 agree,3符合 agree,2不符合 disagree,2不符合 disagree,212.99
280,男,2004,4. 金牛座(4/21-5/20) Taurus,我不是台師大學生 Not NTNU student,3. 外向活潑 Outward and active,FALSE,3. 積極參與 highly involve,3比其他同學稍好些 above average,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,5. 三年以上未滿四年 > 3 years less than 4 years,1. 吃到飽沒上限 unlimited data,409,212,70,401,378,30,180,20,5,0,20,3符合 agree,2不符合 disagree,2不符合 disagree,2不符合 disagree,214.04
281,女,2004,4. 金牛座(4/21-5/20) Taurus,我不是台師大學生 Not NTNU student,3. 外向活潑 Outward and active,FALSE,3. 積極參與 highly involve,3比其他同學稍好些 above average,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,1148,150,47,861,574,120,0,10,0,0,4,3符合 agree,3符合 agree,2不符合 disagree,2不符合 disagree,252.5
282,女,2006,4. 金牛座(4/21-5/20) Taurus,我不是台師大學生 Not NTNU student,4. 內外雙極 In-outward polarized,FALSE,2. 偶而參與 occasionally involve,1稍微有一點落後其他同學 below average,L4: 學校宿舍 live in school's dorm,三星SAMSUNG,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,258,38,21,221,294,480,120,0,3,0,49,4非常符合 extremely agree,4非常符合 extremely agree,3符合 agree,3符合 agree,257.84
283,男,1974,5. 雙子座(5/21-6/21) Gemini,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,4在課業上我應該算是很厲害的 excellent and outstanding,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,1046,977,56,54,43,0,30,45,0,0,70,2不符合 disagree,2不符合 disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,117.24
284,女,1993,5. 雙子座(5/21-6/21) Gemini,管理學院College of Management,5. 難以捉摸 Hart to say and unstable,FALSE,2. 偶而參與 occasionally involve,1稍微有一點落後其他同學 below average,L5: 租房子 rent a house/room out of school,三星SAMSUNG,1. 半年內 within an half year,1. 吃到飽沒上限 unlimited data,358,0,0,120,230,12,3,2,0,0,0,3符合 agree,2不符合 disagree,2不符合 disagree,2不符合 disagree,340.49
285,女,1995,5. 雙子座(5/21-6/21) Gemini,文學院College of Liberal Arts,4. 內外雙極 In-outward polarized,FALSE,3. 積極參與 highly involve,2跟其他同學差不多 in average and similar to others,其它,蘋果APPLE/Iphone,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,1833,317,38,488,415,120,120,30,3,0,20,3符合 agree,3符合 agree,2不符合 disagree,2不符合 disagree,346.66
286,女,1995,5. 雙子座(5/21-6/21) Gemini,我不是台師大學生 Not NTNU student,1. 內向安靜 Introvert and gentle,286,3. 積極參與 highly involve,2跟其他同學差不多 in average and similar to others,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,2. 半年以上未滿一年  > .5 year less than 1 year,2. 有限制不是吃到飽 limited data,545,295,56,320,560,0,3,30,5,0,20,4非常符合 extremely agree,3符合 agree,3符合 agree,3符合 agree,529.9
287,女,1998,5. 雙子座(5/21-6/21) Gemini,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,5. 三年以上未滿四年 > 3 years less than 4 years,1. 吃到飽沒上限 unlimited data,307,380,38,219,550,0,20,40,1,0,30,2不符合 disagree,2不符合 disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,437.13
288,男,1998,5. 雙子座(5/21-6/21) Gemini,管理學院College of Management,2. 中性平衡 Balance and equal,FALSE,1. 從不參與  never involve,2跟其他同學差不多 in average and similar to others,L1: 住在自己家裡(與父或母住在一起) live in home with parents,三星SAMSUNG,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,320,270,43,170,240,120,100,60,0,0,10,3符合 agree,3符合 agree,3符合 agree,2不符合 disagree,462.93
289,男,1999,5. 雙子座(5/21-6/21) Gemini,我不是台師大學生 Not NTNU student,5. 難以捉摸 Hart to say and unstable,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,442,669,45,353,433,250,60,10,0,0,30,1極不符合 extremely disagree,2不符合 disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,259.71
